;freq[Hz];re:Trc1_S11;im:Trc1_S11;re:Trc2_S21;im:Trc2_S21;location
0;2400000000.0;0.1508471667766571;0.112572692334652;0.0001501466613262892;-0.003452933859080076;1
1;2400166666.666667;0.1506395637989044;0.110470212996006;0.0001065352989826351;-0.003356512635946274;1
2;2400333333.333334;0.1510340869426727;0.1083744764328003;8.569851343054324e-05;-0.003419617656618357;1
3;2400500000.0;0.1511266380548477;0.1056981831789017;7.480625936295837e-05;-0.003567710286006331;1
4;2400666666.666667;0.1514284461736679;0.1033630296587944;-3.260522134951316e-05;-0.003590666456148028;1
5;2400833333.333334;0.1516177356243134;0.1006767973303795;5.106376647745492e-06;-0.003406698815524578;1
6;2401000000.0;0.151930645108223;0.09788038581609726;-0.0001499757054261863;-0.003472144016996026;1
7;2401166666.666667;0.1520784944295883;0.09532443434000017;-0.0002460594987496734;-0.003752824850380421;1
8;2401333333.333334;0.1526777148246765;0.09255902469158173;-0.0004588252631947398;-0.00382668012753129;1
9;2401500000.0;0.1532202810049057;0.08987000584602356;-0.0006994041614234447;-0.00374805205501616;1
10;2401666666.666667;0.1537120789289475;0.08729492872953415;-0.0007859511533752084;-0.003966553136706352;1
11;2401833333.333334;0.1543143540620804;0.08449670672416687;-0.0009405574528500438;-0.003889504820108414;1
12;2402000000.0;0.1553733497858048;0.08199360221624374;-0.001283676945604384;-0.003740715561434627;1
13;2402166666.666667;0.1563302278518677;0.07939609885215759;-0.001461092266254127;-0.003695528022944927;1
14;2402333333.333334;0.1571916192770004;0.07693242281675339;-0.00167780474293977;-0.003722242545336485;1
15;2402500000.0;0.1584877371788025;0.07455167174339294;-0.001922207069583237;-0.003676019608974457;1
16;2402666666.666667;0.1596769839525223;0.0723327249288559;-0.002142638899385929;-0.003405003109946847;1
17;2402833333.333334;0.1610682159662247;0.07009609043598175;-0.002413346199318767;-0.003328790422528982;1
18;2403000000.0;0.1625655591487885;0.06783122569322586;-0.002452438231557608;-0.00297117792069912;1
19;2403166666.666667;0.1644459217786789;0.0657074823975563;-0.00273983646184206;-0.002793695777654648;1
20;2403333333.333334;0.1661226153373718;0.06353513151407242;-0.002837099134922028;-0.002504127100110054;1
21;2403500000.0;0.1680476814508438;0.06173432245850563;-0.002764304168522358;-0.002256178064271808;1
22;2403666666.666667;0.16974937915802;0.05981707200407982;-0.0027716807089746;-0.002066908869892359;1
23;2403833333.333334;0.1716315150260925;0.05799915641546249;-0.002880998887121677;-0.001922917668707669;1
24;2404000000.0;0.1730593889951706;0.05612947791814804;-0.002792695304378867;-0.001851041335612536;1
25;2404166666.666667;0.1750150620937347;0.05477051064372063;-0.00276770000346005;-0.0014496078947559;1
26;2404333333.333334;0.1767132133245468;0.05313390120863915;-0.002796713029965758;-0.001516813295893371;1
27;2404500000.0;0.1783713102340698;0.05181453749537468;-0.002702507888898253;-0.001378384535200894;1
28;2404666666.666667;0.180079773068428;0.05050491541624069;-0.002651354996487498;-0.001253274152986705;1
29;2404833333.333334;0.1818113923072815;0.04940186813473702;-0.002604632871225476;-0.001244716695509851;1
30;2405000000.0;0.1831768304109573;0.04857207089662552;-0.002514655003324151;-0.001150744967162609;1
